Ingrediente,Stock Actual,Stock Mínimo,Stock Máximo
Aceite,0.0000,0.0000,0.0000
Agua,0.0000,0.0000,0.0000
Agua Mineral,0.0000,0.0000,0.0000
Agua botella 600,0.0000,0.0000,0.0000
Agua sanitaria,0.0000,0.0000,0.0000
Almeja 7x7,128.0000,50.0000,300.0000
Almeja 8x8,0.0000,0.0000,0.0000
Amino BCAA 30 serv,0.0000,0.0000,0.0000
Amino Energy 65 serv,0.0000,0.0000,0.0000
Arandano deshidratado,0.0000,0.0000,0.0000
Avena,0.0000,0.0000,0.0000
Avena quaker,0.0000,0.0000,0.0000
Azucar,0.0000,0.0000,0.0000
Bagel,0.0000,0.0000,0.0000
Bolsa,0.0000,0.0000,0.0000
Boneless,0.0000,0.0000,0.0000
Cacahuate Enchilado,0.0000,0.0000,0.0000
Cacahuate Japones,0.0000,0.0000,0.0000
Cacahuate Queso,0.0000,0.0000,0.0000
Cafe,0.0000,0.0000,0.0000
Caja harina pastel betty,0.0000,0.0000,0.0000
Cajita fresas,0.0000,0.0000,0.0000
Capacillos,0.0000,0.0000,0.0000
Carnation Clavel Leche Evaporada,0.0000,0.0000,0.0000
Chile en vinagre,0.0000,0.0000,0.0000
Chile morron,0.0000,0.0000,0.0000
Chocolate,0.0000,0.0000,0.0000
Chocolate confitado (CHOCORETAS),0.0000,0.0000,0.0000
Clight Piña,0.0000,0.0000,0.0000
Coca Cola 355ml,0.0000,0.0000,0.0000
Coca Cola 600ml,0.0000,0.0000,0.0000
Comision vendedor,0.0000,0.0000,0.0000
Concentrado limon,0.0000,0.0000,0.0000
Congelador,0.0000,0.0000,0.0000
Contenedor Cristal,0.0000,0.0000,0.0000
Contenedor Cristal Cuadrado,0.0000,0.0000,0.0000
Contenedor Cristal Rectangular,0.0000,0.0000,0.0000
Contenedor Rebanada,0.0000,0.0000,0.0000
Contenedor de papel 16oz,0.0000,0.0000,0.0000
Contenedor de papel 8oz,0.0000,0.0000,0.0000
Crema batida,0.0000,0.0000,0.0000
Crema de cacahuate,0.0000,0.0000,0.0000
Crema natural,0.0000,0.0000,0.0000
Cueritos,0.0000,0.0000,0.0000
Domo Pay,0.0000,0.0000,0.0000
Electricidad,0.0000,0.0000,0.0000
Elote,0.0000,0.0000,0.0000
Especia mck canela molida,0.0000,0.0000,0.0000
Etiqueta BONBONPEACH,0.0000,0.0000,0.0000
Fajilla vaso cafe,0.0000,0.0000,0.0000
Forritos,0.0000,0.0000,0.0000
Freidora de aire,0.0000,0.0000,0.0000
Fresa,0.0000,0.0000,0.0000
GAT Creatina,0.0000,0.0000,0.0000
Galleta Oreo,0.0000,0.0000,0.0000
Gansito,0.0000,0.0000,0.0000
Gas,0.0000,0.0000,0.0000
Gasolina,0.0000,0.0000,0.0000
Gelatina DGARY fresa agua,0.0000,0.0000,0.0000
Gelatina DGARY limon agua,0.0000,0.0000,0.0000
Gomita Frutitas,0.0000,0.0000,0.0000
Gomita Manguitos,0.0000,0.0000,0.0000
Gomita Orugas,0.0000,0.0000,0.0000
Gomita Ositos,0.0000,0.0000,0.0000
Gomitas Aro Durazno,0.0000,0.0000,0.0000
Gomitas Mangusano,0.0000,0.0000,0.0000
Gomitas Ositos Enchilados,0.0000,0.0000,0.0000
Gomitas Osos Neon,0.0000,0.0000,0.0000
Granillo chocolate diamante,0.0000,0.0000,0.0000
Granillo colores diamante,0.0000,0.0000,0.0000
Grenetina,0.0000,0.0000,0.0000
Harina Hot Cakes,0.0000,0.0000,0.0000
Harina Hot cakes,0.0000,0.0000,0.0000
Helado de chocolate,0.0000,0.0000,0.0000
Helado de fresa,0.0000,0.0000,0.0000
Helado de vainilla,0.0000,0.0000,0.0000
Hielo,0.0000,0.0000,0.0000
Huevo,0.0000,0.0000,0.0000
Jamon,0.0000,0.0000,0.0000
Jugo Naranja 100%,0.0000,0.0000,0.0000
Kinder delice,0.0000,0.0000,0.0000
Leche Entera,0.0000,0.0000,0.0000
Leche deslactosada,0.0000,0.0000,0.0000
Leche entera,0.0000,0.0000,0.0000
Lechera Leche Condensada,0.0000,0.0000,0.0000
Lechuga,0.0000,0.0000,0.0000
Luz,0.0000,0.0000,0.0000
Manzana,0.0000,0.0000,0.0000
Maquina,0.0000,0.0000,0.0000
Margarina Iberia,0.0000,0.0000,0.0000
Maruchan camaron c/chile,0.0000,0.0000,0.0000
Maruchan habanero/camaron,0.0000,0.0000,0.0000
Mayonesa,0.0000,0.0000,0.0000
Mazapan grande,0.0000,0.0000,0.0000
Mermalada mck fresa,0.0000,0.0000,0.0000
Mermelada mck zarmamora,0.0000,0.0000,0.0000
Metforce IsoFresa,0.0000,0.0000,0.0000
Metforce IsoProtein Vainilla,0.0000,0.0000,0.0000
Metforce Whey Chocolate,0.0000,0.0000,0.0000
Metforce Whey Fresa,0.0000,0.0000,0.0000
Miel,0.0000,0.0000,0.0000
Molde aluminio,0.0000,0.0000,0.0000
Molde de 28cm (gelatinas),0.0000,0.0000,0.0000
"Molde de 32cm (flan, chocoflan)",0.0000,0.0000,0.0000
Mutant Whey Cookies,0.0000,0.0000,0.0000
Mutant Whey Fresa,0.0000,0.0000,0.0000
Nestle Media Crema,0.0000,0.0000,0.0000
Nutella,0.0000,0.0000,0.0000
PAM,0.0000,0.0000,0.0000
Palillo Brocheta,0.0000,0.0000,0.0000
Pan bimbo,0.0000,0.0000,0.0000
Papa Suelta,0.0000,0.0000,0.0000
Papa suelta,0.0000,0.0000,0.0000
Papa twist,0.0000,0.0000,0.0000
Papas a la francesa,0.0000,0.0000,0.0000
Papel alimenticio,0.0000,0.0000,0.0000
Pepino,0.0000,0.0000,0.0000
Platano,0.0000,0.0000,0.0000
Polvo cacao,0.0000,0.0000,0.0000
Popote,0.0000,0.0000,0.0000
Popote Frappe,0.0000,0.0000,0.0000
Portavasos 4,0.0000,0.0000,0.0000
Psychotic (pre),0.0000,0.0000,0.0000
Queso amarillo,0.0000,0.0000,0.0000
Queso panela,0.0000,0.0000,0.0000
Refrigerador,0.0000,0.0000,0.0000
Renta,0.0000,0.0000,0.0000
Rexal polvo para hornear,0.0000,0.0000,0.0000
Salsa BBQ Hunts,0.0000,0.0000,0.0000
Salsa Buffalo,0.0000,0.0000,0.0000
Salsa Mango habanero,0.0000,0.0000,0.0000
Servilleta,0.0000,0.0000,0.0000
Syrup Chocolate Hersheys 589 g,0.0000,0.0000,0.0000
Tapa Domo Pacifico Polietilenos,0.0000,0.0000,0.0000
Tapa vaso cafe,0.0000,0.0000,0.0000
Tapa vaso plastico,0.0000,0.0000,0.0000
Tenedor,0.0000,0.0000,0.0000
Tostitos,0.0000,0.0000,0.0000
Vainilla,0.0000,0.0000,0.0000
Valentina Bolsa,0.0000,0.0000,0.0000
Vaso cafe 12 oz,0.0000,0.0000,0.0000
Vaso plastico 16oz,0.0000,0.0000,0.0000
Venom Inferno (pre),0.0000,0.0000,0.0000
Wongs selfies yogurt  (lunetas de yogurt),0.0000,0.0000,0.0000
Yogur Griego Yoplait,0.0000,0.0000,0.0000
luz,0.0000,0.0000,0.0000
vaso cafe 16 oz,0.0000,0.0000,0.0000
